id_str,coor_lat,coor_long,coorpt,created,created_secs,geo_lat,geo_long,geo_type,bbox,bbox_type,bbox_lat1,bbox_long1,bbox_lat2,bbox_long2,bbox_full_name,bbox_city,bbox_state,bbox_name,bbox_place_type,timestamp_ms,user_geo_able,user_id,user_location
593577701023289344,None,None,None,Thu Apr 30 00:48:46 +0000 2015,1430372926.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430354926721,True,885747600,
593577701853761536,None,None,None,Thu Apr 30 00:48:46 +0000 2015,1430372926.0,None,None,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430354926919,True,252254683,Baltimore The City 
593577702298365953,38.905743,-77.044931,Point,Thu Apr 30 00:48:47 +0000 2015,1430372927.0,38.905743,-77.044931,Point,"[[[-77.119401, 38.801826], [-77.119401, 38.9953797], [-76.909396, 38.9953797], [-76.909396, 38.801826]]]",Polygon,38.801826,-77.119401,38.9953797,-76.909396,"Washington, DC",Washington,DC,Washington,city,1430354927025,True,8144422,"Washington, DC"
593577703586013184,None,None,None,Thu Apr 30 00:48:47 +0000 2015,1430372927.0,None,None,Point,"[[[-76.973441, 38.802185], [-76.973441, 38.818865], [-76.93105, 38.818865], [-76.93105, 38.802185]]]",Polygon,38.802185,-76.973441,38.818865,-76.93105,"Temple Hills, MD",Temple Hills,MD,Temple Hills,city,1430354927332,True,294799358,
593577704311693312,None,None,None,Thu Apr 30 00:48:47 +0000 2015,1430372927.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430354927505,True,2337200184,p h i l l y
593577704605229056,None,None,None,Thu Apr 30 00:48:47 +0000 2015,1430372927.0,None,None,Point,"[[[-77.184452, 38.739182], [-77.184452, 38.798553], [-77.119991, 38.798553], [-77.119991, 38.739182]]]",Polygon,38.739182,-77.184452,38.798553,-77.119991,"Franconia, VA",Franconia,VA,Franconia,city,1430354927575,True,174661839,
593577705259532288,None,None,None,Thu Apr 30 00:48:47 +0000 2015,1430372927.0,None,None,Point,"[[[-77.337993, 37.257957], [-77.337993, 37.317666], [-77.269756, 37.317666], [-77.269756, 37.257957]]]",Polygon,37.257957,-77.337993,37.317666,-77.269756,"Hopewell, VA",Hopewell,VA,Hopewell,city,1430354927731,True,1876887894,614Columbus✈️804Hopewell 
593577706165379073,None,None,None,Thu Apr 30 00:48:47 +0000 2015,1430372927.0,None,None,Point,"[[[-76.693922, 39.219095], [-76.693922, 39.255518], [-76.618616, 39.255518], [-76.618616, 39.219095]]]",Polygon,39.219095,-76.693922,39.255518,-76.618616,"Lansdowne, MD",Lansdowne,MD,Lansdowne,city,1430354927947,True,969874706,
593577708870770688,None,None,None,Thu Apr 30 00:48:48 +0000 2015,1430372928.0,None,None,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430354928592,True,1043827195,
593577709239939072,38.600886,-75.418675,Point,Thu Apr 30 00:48:48 +0000 2015,1430372928.0,38.600886,-75.418675,Point,"[[[-75.788758, 38.451038], [-75.788758, 39.839007], [-74.984165, 39.839007], [-74.984165, 38.451038]]]",Polygon,38.451038,-75.788758,39.839007,-74.984165,"Delaware, USA",None,Delaware,Delaware,admin,1430354928680,True,588809277,
593577709269299200,None,None,None,Thu Apr 30 00:48:48 +0000 2015,1430372928.0,None,None,Point,"[[[-77.601044, 37.447046], [-77.601044, 37.61272], [-77.385297, 37.61272], [-77.385297, 37.447046]]]",Polygon,37.447046,-77.601044,37.61272,-77.385297,"Richmond, VA",Richmond,VA,Richmond,city,1430354928687,True,2738756122,Virginia
593577712041721856,36.906836,-76.087797,Point,Thu Apr 30 00:48:49 +0000 2015,1430372929.0,36.906836,-76.087797,Point,"[[[-76.22808, 36.672684], [-76.22808, 36.932399], [-75.9118121, 36.932399], [-75.9118121, 36.672684]]]",Polygon,36.672684,-76.22808,36.932399,-75.9118121,"Virginia Beach, VA",Virginia Beach,VA,Virginia Beach,city,1430354929348,True,475449618,
593577712326959105,40.015851,-75.229343,Point,Thu Apr 30 00:48:49 +0000 2015,1430372929.0,40.015851,-75.229343,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430354929416,True,339658845,Where The Cash At
593577713610465280,None,None,None,Thu Apr 30 00:48:49 +0000 2015,1430372929.0,None,None,Point,"[[[-75.788758, 38.451038], [-75.788758, 39.839007], [-74.984165, 39.839007], [-74.984165, 38.451038]]]",Polygon,38.451038,-75.788758,39.839007,-74.984165,"Delaware, USA",None,Delaware,Delaware,admin,1430354929722,True,400426966,Southwest Philly
593577714088415232,None,None,None,Thu Apr 30 00:48:49 +0000 2015,1430372929.0,None,None,Point,"[[[-77.119401, 38.801826], [-77.119401, 38.9953797], [-76.909396, 38.9953797], [-76.909396, 38.801826]]]",Polygon,38.801826,-77.119401,38.9953797,-76.909396,"Washington, DC",Washington,DC,Washington,city,1430354929836,True,3119999643,
593577714797383680,None,None,None,Thu Apr 30 00:48:50 +0000 2015,1430372930.0,None,None,Point,"[[[-78.028546, 38.445607], [-78.028546, 38.497639], [-77.972087, 38.497639], [-77.972087, 38.445607]]]",Polygon,38.445607,-78.028546,38.497639,-77.972087,"Culpeper, VA",Culpeper,VA,Culpeper,city,1430354930005,True,2258402113,
593577715875217408,None,None,None,Thu Apr 30 00:48:50 +0000 2015,1430372930.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430354930262,True,2218729353,
593577717972541440,None,None,None,Thu Apr 30 00:48:50 +0000 2015,1430372930.0,None,None,Point,"[[[-75.788758, 38.451038], [-75.788758, 39.839007], [-74.984165, 39.839007], [-74.984165, 38.451038]]]",Polygon,38.451038,-75.788758,39.839007,-74.984165,"Delaware, USA",None,Delaware,Delaware,admin,1430354930762,True,1668169376,Laying Low
