id_str,coor_lat,coor_long,coorpt,created,created_secs,geo_lat,geo_long,geo_type,bbox,bbox_type,bbox_lat1,bbox_long1,bbox_lat2,bbox_long2,bbox_full_name,bbox_city,bbox_state,bbox_name,bbox_place_type,timestamp_ms,user_geo_able,user_id,user_location
593404956700516352,None,None,None,Wed Apr 29 13:22:21 +0000 2015,1430331741.0,None,None,Point,"[[[-76.448383, 36.66], [-76.448383, 36.866431], [-76.143408, 36.866431], [-76.143408, 36.66]]]",Polygon,36.66,-76.448383,36.866431,-76.143408,"Chesapeake, VA",Chesapeake,VA,Chesapeake,city,1430313741265,True,18078919,norfolk
593404957258317825,None,None,None,Wed Apr 29 13:22:21 +0000 2015,1430331741.0,None,None,Point,"[[[-76.334287, 36.820791], [-76.334287, 36.969373], [-76.177085, 36.969373], [-76.177085, 36.820791]]]",Polygon,36.820791,-76.334287,36.969373,-76.177085,"Norfolk, VA",Norfolk,VA,Norfolk,city,1430313741398,True,187508488,
593404959250604033,None,None,None,Wed Apr 29 13:22:21 +0000 2015,1430331741.0,None,None,Point,"[[[-76.22808, 36.672684], [-76.22808, 36.932399], [-75.9118121, 36.932399], [-75.9118121, 36.672684]]]",Polygon,36.672684,-76.22808,36.932399,-75.9118121,"Virginia Beach, VA",Virginia Beach,VA,Virginia Beach,city,1430313741873,True,1313050471,Virginia
593404961939136512,36.12311,-78.675135,Point,Wed Apr 29 13:22:22 +0000 2015,1430331742.0,36.12311,-78.675135,Point,"[[[-84.32187, 33.752879], [-84.32187, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",Polygon,33.752879,-84.32187,36.588118,-75.40012,"North Carolina, USA",None,North Carolina,North Carolina,admin,1430313742514,True,2851555822,
593404964501848065,None,None,None,Wed Apr 29 13:22:23 +0000 2015,1430331743.0,None,None,Point,"[[[-84.32187, 33.752879], [-84.32187, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",Polygon,33.752879,-84.32187,36.588118,-75.40012,"North Carolina, USA",None,North Carolina,North Carolina,admin,1430313743125,True,1263053034,
593404968339668993,None,None,None,Wed Apr 29 13:22:24 +0000 2015,1430331744.0,None,None,Point,"[[[-76.334287, 36.820791], [-76.334287, 36.969373], [-76.177085, 36.969373], [-76.177085, 36.820791]]]",Polygon,36.820791,-76.334287,36.969373,-76.177085,"Norfolk, VA",Norfolk,VA,Norfolk,city,1430313744040,True,41271676,Trappin Ass Winston
593404971472789504,None,None,None,Wed Apr 29 13:22:24 +0000 2015,1430331744.0,None,None,Point,"[[[-77.248462, 38.971077], [-77.248462, 39.0693022], [-77.1418208, 39.0693022], [-77.1418208, 38.971077]]]",Polygon,38.971077,-77.248462,39.0693022,-77.1418208,"Potomac, MD",Potomac,MD,Potomac,city,1430313744787,True,610306129,06:06 
593404974287171586,38.897231,-77.035705,Point,Wed Apr 29 13:22:25 +0000 2015,1430331745.0,38.897231,-77.035705,Point,"[[[-77.119401, 38.801826], [-77.119401, 38.9953797], [-76.909396, 38.9953797], [-76.909396, 38.801826]]]",Polygon,38.801826,-77.119401,38.9953797,-76.909396,"Washington, DC",Washington,DC,Washington,city,1430313745458,True,25790624,"New York, NY"
593404974656319489,40.101706,-76.298097,Point,Wed Apr 29 13:22:25 +0000 2015,1430331745.0,40.101706,-76.298097,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430313745546,True,563287206,Townshit
593404978565402624,None,None,None,Wed Apr 29 13:22:26 +0000 2015,1430331746.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430313746478,True,958069344,
593404979500752896,None,None,None,Wed Apr 29 13:22:26 +0000 2015,1430331746.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430313746701,True,339342544,
593404981170024448,None,None,None,Wed Apr 29 13:22:27 +0000 2015,1430331747.0,None,None,Point,"[[[-75.71412, 38.28923], [-75.71412, 38.431613], [-75.487032, 38.431613], [-75.487032, 38.28923]]]",Polygon,38.28923,-75.71412,38.431613,-75.487032,"Salisbury, MD",Salisbury,MD,Salisbury,city,1430313747099,True,2708142376,
593404982721966081,None,None,None,Wed Apr 29 13:22:27 +0000 2015,1430331747.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430313747469,True,369680353,FXBG
593404983716028416,None,None,None,Wed Apr 29 13:22:27 +0000 2015,1430331747.0,None,None,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430313747706,True,353566287,
593404991521443840,None,None,None,Wed Apr 29 13:22:29 +0000 2015,1430331749.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430313749567,True,1929090876,roanoke 
593404992725323776,None,None,None,Wed Apr 29 13:22:29 +0000 2015,1430331749.0,None,None,Point,"[[[-76.800034, 38.8898003], [-76.800034, 39.037765], [-76.693243, 39.037765], [-76.693243, 38.8898003]]]",Polygon,38.8898003,-76.800034,39.037765,-76.693243,"Bowie, MD",Bowie,MD,Bowie,city,1430313749854,True,33292000,"Bowie, MD"
593404992448385025,38.740085,-77.077321,Point,Wed Apr 29 13:22:29 +0000 2015,1430331749.0,38.740085,-77.077321,Point,"[[[-77.096062, 38.730221], [-77.096062, 38.765894], [-77.057234, 38.765894], [-77.057234, 38.730221]]]",Polygon,38.730221,-77.096062,38.765894,-77.057234,"Hybla Valley, VA",Hybla Valley,VA,Hybla Valley,city,1430313749788,True,120915785,"Alexandria, VA"
593404993581031428,None,None,None,Wed Apr 29 13:22:30 +0000 2015,1430331750.0,None,None,Point,"[[[-77.287868, 38.893115], [-77.287868, 38.981856], [-77.119901, 38.981856], [-77.119901, 38.893115]]]",Polygon,38.893115,-77.287868,38.981856,-77.119901,"McLean, VA",McLean,VA,McLean,city,1430313750058,True,1550287338,USA
593404996940595200,None,None,None,Wed Apr 29 13:22:30 +0000 2015,1430331750.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430313750859,True,16282836,North of Pittsburgh
593404998526042113,38.84,-77.29,Point,Wed Apr 29 13:22:31 +0000 2015,1430331751.0,38.84,-77.29,Point,"[[[-77.335163, 38.83278], [-77.335163, 38.872421], [-77.268663, 38.872421], [-77.268663, 38.83278]]]",Polygon,38.83278,-77.335163,38.872421,-77.268663,"Fairfax, VA",Fairfax,VA,Fairfax,city,1430313751237,True,2851626845,George Mason University
593405000694538240,39.05879,-77.120235,Point,Wed Apr 29 13:22:31 +0000 2015,1430331751.0,39.05879,-77.120235,Point,"[[[-77.155886, 39.0126343], [-77.155886, 39.0743035], [-77.084619, 39.0743035], [-77.084619, 39.0126343]]]",Polygon,39.0126343,-77.155886,39.0743035,-77.084619,"North Bethesda, MD",North Bethesda,MD,North Bethesda,city,1430313751754,True,168340557,Moodstruck 3D Fiber Lash USA
593405006231031809,None,None,None,Wed Apr 29 13:22:33 +0000 2015,1430331753.0,None,None,Point,"[[[-75.7082141, 39.3878764], [-75.7082141, 39.4085033], [-75.6826734, 39.4085033], [-75.6826734, 39.3878764]]]",Polygon,39.3878764,-75.7082141,39.4085033,-75.6826734,"Townsend, DE",Townsend,DE,Townsend,city,1430313753074,True,2152607782,townsend de 
593405007829012480,None,None,None,Wed Apr 29 13:22:33 +0000 2015,1430331753.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430313753455,True,958069344,
593405009653555200,None,None,None,Wed Apr 29 13:22:33 +0000 2015,1430331753.0,None,None,Point,"[[[-82.644739, 37.201483], [-82.644739, 40.638802], [-77.718935, 40.638802], [-77.718935, 37.201483]]]",Polygon,37.201483,-82.644739,40.638802,-77.718935,"West Virginia, USA",None,West Virginia,West Virginia,admin,1430313753890,True,805582890,
593405009817141249,None,None,None,Wed Apr 29 13:22:33 +0000 2015,1430331753.0,None,None,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430313753929,True,118454368,"Baltimore, Maryland"
593405010643447808,None,None,None,Wed Apr 29 13:22:34 +0000 2015,1430331754.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430313754126,True,236259337,The H 
593405015584301056,None,None,None,Wed Apr 29 13:22:35 +0000 2015,1430331755.0,None,None,Point,"[[[-76.912348, 38.886827], [-76.912348, 38.914939], [-76.886724, 38.914939], [-76.886724, 38.886827]]]",Polygon,38.886827,-76.912348,38.914939,-76.886724,"Seat Pleasant, MD",Seat Pleasant,MD,Seat Pleasant,city,1430313755304,True,45146861,
593405017249427457,None,None,None,Wed Apr 29 13:22:35 +0000 2015,1430331755.0,None,None,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430313755701,True,412756099,
